datetime,Las Vegas
2012-10-01 13:00:00,293.41
2012-10-01 14:00:00,293.4031413
2012-10-01 15:00:00,293.3921771
2012-10-01 16:00:00,293.3812128
2012-10-01 17:00:00,293.3702486
2012-10-01 18:00:00,293.3592844
2012-10-01 19:00:00,293.3483202
2012-10-01 20:00:00,293.337356
2012-10-01 21:00:00,293.3263917
2012-10-01 22:00:00,293.3154275
2012-10-01 23:00:00,293.3044633
2012-10-02 0:00:00,293.2934991
2012-10-02 1:00:00,293.2825349
2012-10-02 2:00:00,293.2715706
2012-10-02 3:00:00,293.2606064
2012-10-02 4:00:00,293.2496422
2012-10-02 5:00:00,293.238678
2012-10-02 6:00:00,293.2277138
2012-10-02 7:00:00,293.2167495
2012-10-02 8:00:00,293.2057853
2012-10-02 9:00:00,293.1948211
2012-10-02 10:00:00,293.1838569
2012-10-02 11:00:00,293.1728927
2012-10-02 12:00:00,293.1619284
2012-10-02 13:00:00,293.1509642
2012-10-02 14:00:00,293.14
2012-10-02 15:00:00,296.38
2012-10-02 16:00:00,297.02
2012-10-02 17:00:00,300.24
2012-10-02 18:00:00,305.1
2012-10-02 19:00:00,305.47
2012-10-02 20:00:00,306.7
2012-10-02 21:00:00,307.22
2012-10-02 22:00:00,308.79
2012-10-02 23:00:00,308.79
2012-10-03 0:00:00,308.29
2012-10-03 1:00:00,306.22
2012-10-03 2:00:00,303.27
2012-10-03 3:00:00,301.1
2012-10-03 4:00:00,300.45
2012-10-03 5:00:00,298.96
2012-10-03 6:00:00,298.14
2012-10-03 7:00:00,296.17
2012-10-03 8:00:00,297.14
2012-10-03 9:00:00,296.43
2012-10-03 10:00:00,296.44
2012-10-03 11:00:00,295.56
2012-10-03 12:00:00,293.68
2012-10-03 13:00:00,293.38
2012-10-03 14:00:00,292.26
2012-10-03 15:00:00,295.3466667
2012-10-03 16:00:00,298.4333333
2012-10-03 17:00:00,301.52
2012-10-03 18:00:00,303.95
2012-10-03 19:00:00,305.76
2012-10-03 20:00:00,307
2012-10-03 21:00:00,308.22
2012-10-03 22:00:00,309.035
2012-10-03 23:00:00,309.85
2012-10-04 0:00:00,309.6
2012-10-04 1:00:00,307.33
2012-10-04 2:00:00,305.8
2012-10-04 3:00:00,303.29
2012-10-04 4:00:00,301.78
2012-10-04 5:00:00,300.82
2012-10-04 6:00:00,299.64
2012-10-04 7:00:00,299.53
2012-10-04 8:00:00,298.22
2012-10-04 9:00:00,298
2012-10-04 10:00:00,296.63
2012-10-04 11:00:00,295.47
2012-10-04 12:00:00,295.31
2012-10-04 13:00:00,293.39
2012-10-04 14:00:00,294.94
2012-10-04 15:00:00,296.49
2012-10-04 16:00:00,299.92
2012-10-04 17:00:00,302.56
2012-10-04 18:00:00,304.65
2012-10-04 19:00:00,306.35
2012-10-04 20:00:00,307.59
2012-10-04 21:00:00,308.42
2012-10-04 22:00:00,309.11
2012-10-04 23:00:00,308.84
2012-10-05 0:00:00,308.49
2012-10-05 1:00:00,306.97
2012-10-05 2:00:00,304.65
2012-10-05 3:00:00,302.79
2012-10-05 4:00:00,301.87
2012-10-05 5:00:00,301.43
2012-10-05 6:00:00,300.35
2012-10-05 7:00:00,299.255
2012-10-05 8:00:00,298.16
2012-10-05 9:00:00,297.4
2012-10-05 10:00:00,296.64
2012-10-05 11:00:00,295.77
2012-10-05 12:00:00,295.22
2012-10-05 13:00:00,294.07
2012-10-05 14:00:00,294.27
2012-10-05 15:00:00,295.76
2012-10-05 16:00:00,298.42
2012-10-05 17:00:00,298.9
2012-10-05 18:00:00,301.03
2012-10-05 19:00:00,303.52
2012-10-05 20:00:00,304.15
2012-10-05 21:00:00,304.78
2012-10-05 22:00:00,305.3
2012-10-05 23:00:00,305.89
2012-10-06 0:00:00,305.8
2012-10-06 1:00:00,304.7
2012-10-06 2:00:00,304.32
2012-10-06 3:00:00,300.9
2012-10-06 4:00:00,300.66
2012-10-06 5:00:00,299.52
2012-10-06 6:00:00,298.41
2012-10-06 7:00:00,298.72
2012-10-06 8:00:00,297.065
2012-10-06 9:00:00,295.41
2012-10-06 10:00:00,294.33
2012-10-06 11:00:00,293.84
2012-10-06 12:00:00,293.89
2012-10-06 13:00:00,292.7
2012-10-06 14:00:00,292.46
2012-10-06 15:00:00,294.2
2012-10-06 16:00:00,296.34
2012-10-06 17:00:00,299.49
